Id,State,PostalCode,Categories,PriceRangeMax
237,CA,95823,"Restaurant,Pizza Place",25
238,CA,90245,"Pizza,Restaurant,Pizza Place",25
239,CA,94131,"Restaurant,Pizza Place",40
240,CA,94706,"Restaurant,Pizza Place",25
241,CA,92101,"Pizza,Restaurant,Pizza Place",25
242,CA,91350,"Pizza,Restaurant,Pizza Place,Restaurants",25
243,CA,92253,"Restaurant,Pizza Place",25
244,CA,90293,"Restaurant,Pizza Place",25
245,CA,94061,Pizza Place,25
246,CA,94304,Pizza Place,40
247,CA,90505,"Restaurant,Pizza Place",25
248,CA,92057,"Restaurant,Pizza Place",25
249,CA,92806,"Pizza,Restaurant,Caterers,Pizza Place,Restaurants",25
250,CA,91355,"Restaurant,Pizza Place,Pizza Place Valencia",25
251,CA,90808,"Pizza,Restaurant,Italian,Pizza Place",25
252,CA,92649,"Pizza,Restaurant,Pizza Place,Restaurants",25
253,CA,94115,"Restaurant,Pizza Place,Pizza Place Pacific Heights",40
254,CA,94566,"Pizza,Restaurant,Pizza Place,Restaurants",40
255,CA,94301,"Pizza,Restaurant,Pizza Place,Pizza Place University South,Restaurants",25
256,CA,90802,"Restaurant,Pizza Place",40
257,CA,92116,"Pizza,Restaurant,Vegetarian,Pizza Place,Vegan",25
258,CA,90045,"Pizza,Italian Restaurant,Restaurant,Pizza Place",25
259,CA,91351,"Restaurant,Pizza Place",40
260,CA,90701,"Restaurant,Pizza Place",25
261,CA,94112,"Restaurant,Pizza Place",25
262,CA,95678,"Pizza,Restaurant,Pizza Place,Restaurants,Italian Restaurants",40
263,CA,92660,"Restaurant,Pizza Place",40
264,CA,94619,"Restaurant,Pizza Place",40
265,CA,95816,"Restaurant,Pizza Place,Restaurants",25
266,CA,94523,"Restaurant,Pizza Place",25
267,CA,90807,"Pizza Place Bixby Knolls,Restaurant,Pizza Place",40
268,CA,91107,"Restaurant,Pizza Place",25
269,CA,94704,"Restaurant,Pizza Place",25
270,CA,94066,"Restaurant,Pizza Place",25
271,CA,90068,"Restaurant,Pizza Place and Sandwich Place,wich Place,Pizza Place",25
272,CA,92127,"Restaurant,Pizza Restaurants,Pizza Place",25
